                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3996,                 1.8769,                 1.1516,                0.87251,                0.76177,                0.85031,                0.47104,                 1.4034,                 1.0915,                 1.1493,               0.070194,              0.0033118,              0.0033118
                      1,                 1.3353,                0.89455,                 1.1098,                0.87824,                0.85072,                0.90617,                0.53386,                 1.3463,                0.84799,                 1.0976,               0.040161,              0.0066123,              0.0066123
                      2,                 1.3559,                0.86986,                 1.1218,                0.78879,                0.69995,                0.75907,                0.41257,                 1.4677,                 1.0226,                 1.2091,               0.010095,              0.0098797,              0.0098797
                      3,                 1.3511,                0.85614,                 1.1254,                0.85839,                0.83155,                0.87571,                0.49941,                 1.3804,                0.91491,                 1.1614,              0.0098515,              0.0098515,              0.0098515
                      4,                 1.3269,                0.78622,                  1.119,                0.91256,                0.84723,                0.90792,                0.53924,                 1.3304,                0.73242,                  1.139,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.2962,                0.74058,                 1.1056,                0.83815,                0.83754,                0.86825,                0.52144,                 1.3438,                0.82414,                 1.1304,               0.009802,               0.009802,               0.009802
                      6,                 1.2759,                0.71293,                 1.0951,                0.90287,                0.86487,                0.91784,                0.55175,                 1.3239,                0.65663,                 1.1345,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.2454,                0.67991,                 1.0882,                0.92351,                0.86305,                0.92774,                0.58521,                 1.2317,                0.63801,                 1.0912,               0.009703,               0.009703,               0.009703
                      8,                 1.2414,                0.66512,                 1.0855,                0.90538,                0.88754,                 0.9277,                0.58769,                  1.222,                0.63729,                 1.0842,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.2257,                0.64773,                 1.0789,                0.92719,                0.88321,                0.93956,                0.60614,                  1.201,                0.59844,                 1.0742,               0.009604,               0.009604,               0.009604
                     10,                  1.209,                0.62665,                 1.0717,                0.92683,                0.89201,                0.93817,                0.59651,                 1.2018,                0.59355,                 1.0838,              0.0095545,              0.0095545,              0.0095545
