                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 0.7246,                0.38479,                0.90103,                0.96635,                 0.9521,                0.97761,                 0.7869,                0.73185,                0.36089,                0.95368,                 0.0775,                 0.0025,                 0.0025
                      1,                0.71296,                0.39427,                0.89535,                0.96718,                0.95748,                0.97563,                0.77479,                0.79256,                0.40301,                0.95669,                0.05405,              0.0050495,              0.0050495
                      2,                0.78977,                0.42499,                0.92313,                0.96319,                0.93928,                0.96481,                0.74805,                0.78833,                0.41525,                0.95734,               0.030548,              0.0075475,              0.0075475
                      3,                0.79508,                0.44743,                0.92521,                0.96114,                0.93319,                0.96074,                0.73227,                0.83911,                   0.46,                0.97713,               0.009703,               0.009703,               0.009703
                      4,                0.85692,                0.46652,                  0.946,                0.95437,                0.93821,                0.96848,                 0.7478,                0.82237,                0.43092,                0.97256,               0.009703,               0.009703,               0.009703
                      5,                 0.8484,                0.47783,                0.95276,                0.93441,                0.94695,                0.96553,                0.74452,                0.81413,                0.44193,                0.97596,               0.009604,               0.009604,               0.009604
                      6,                0.87944,                0.48596,                0.93547,                0.96615,                0.90903,                0.95622,                 0.7421,                0.81676,                0.45834,                 0.9696,               0.009505,               0.009505,               0.009505
                      7,                0.84921,                0.48724,                0.95281,                0.94379,                0.92402,                0.94662,                0.70064,                 0.8883,                 0.4945,                0.99772,               0.009406,               0.009406,               0.009406
                      8,                0.90039,                0.50801,                0.96402,                0.92123,                0.92793,                0.94377,                0.70747,                0.85756,                0.51383,                0.98255,               0.009307,               0.009307,               0.009307
                      9,                0.93843,                0.52199,                0.96393,                0.94822,                0.93193,                0.96981,                0.73647,                0.83723,                0.44522,                0.97315,               0.009208,               0.009208,               0.009208
                     10,                 0.9402,                0.52227,                0.98338,                0.96668,                0.94676,                0.97239,                0.72367,                0.88244,                0.46208,                0.97944,               0.009109,               0.009109,               0.009109
                     11,                0.84431,                0.49177,                0.93037,                0.94456,                0.91492,                0.95662,                0.70954,                0.91234,                0.49161,                 1.0004,                0.00901,                0.00901,                0.00901
                     12,                0.90345,                 0.5121,                 0.9589,                0.94344,                0.94558,                0.96881,                 0.7434,                0.82396,                0.44833,                0.97438,               0.008911,               0.008911,               0.008911
                     13,                0.88544,                 0.5143,                0.94985,                0.94646,                0.95181,                0.97277,                0.74531,                0.82483,                0.46716,                0.97934,               0.008812,               0.008812,               0.008812
                     14,                0.86664,                0.50238,                0.94464,                0.95854,                0.91851,                0.95886,                0.72016,                0.87182,                0.47119,                0.98129,               0.008713,               0.008713,               0.008713
                     15,                0.88599,                 0.5092,                0.95215,                0.97047,                0.92198,                0.96566,                0.73012,                0.82691,                0.45304,                0.97567,               0.008614,               0.008614,               0.008614
                     16,                0.92379,                0.52864,                 0.9752,                0.95868,                0.92374,                0.96008,                0.72886,                0.84611,                0.47348,                0.97328,               0.008515,               0.008515,               0.008515
                     17,                0.88887,                0.49926,                0.94838,                0.95474,                0.95021,                0.96566,                0.73377,                0.85392,                0.44564,                0.97451,               0.008416,               0.008416,               0.008416
                     18,                 0.8593,                0.49098,                0.95244,                 0.9082,                0.89876,                0.93936,                0.70595,                0.85995,                0.52679,                0.98519,               0.008317,               0.008317,               0.008317
                     19,                0.89096,                0.49622,                0.96259,                0.95003,                0.95147,                0.97079,                0.71771,                0.88037,                0.46849,                0.98984,               0.008218,               0.008218,               0.008218
