                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3798,                 2.3262,                 1.2397,                0.79564,                0.73744,                0.78671,                0.48173,                 1.1468,                 1.0669,                 1.1082,               0.070698,              0.0032558,              0.0032558
                      1,                 1.2446,                0.97417,                 1.1402,                0.88857,                0.81154,                 0.9016,                0.57109,                  1.118,                0.86966,                 1.0744,               0.040643,              0.0065348,              0.0065348
                      2,                 1.2476,                0.96527,                 1.1188,                0.87589,                0.87377,                0.94102,                 0.6133,                 1.1689,                0.75877,                 1.0662,               0.010534,              0.0097588,              0.0097588
                      3,                 1.3178,                0.90443,                 1.1401,                0.85664,                0.84151,                0.89952,                0.56577,                 1.2648,                0.84849,                  1.136,              0.0097525,              0.0097525,              0.0097525
                      4,                 1.2727,                0.82237,                 1.1101,                0.92981,                0.89264,                0.96681,                0.62911,                 1.1592,                0.71384,                 1.0781,              0.0097525,              0.0097525,              0.0097525
                      5,                 1.2248,                0.75674,                 1.0825,                0.92396,                0.87748,                0.94249,                 0.6186,                  1.158,                0.72326,                 1.0795,                0.00967,                0.00967,                0.00967
                      6,                 1.2315,                0.76497,                  1.091,                  0.916,                0.89286,                0.94969,                0.60832,                 1.1599,                0.76975,                 1.0729,              0.0095875,              0.0095875,              0.0095875
                      7,                 1.2362,                 0.7457,                 1.1024,                0.87529,                0.82994,                0.91012,                0.59598,                 1.2004,                0.79233,                 1.0802,               0.009505,               0.009505,               0.009505
                      8,                 1.2607,                0.75993,                 1.1003,                  0.894,                0.91567,                 0.9529,                0.63382,                 1.1655,                0.71268,                 1.0663,              0.0094225,              0.0094225,              0.0094225
                      9,                 1.2605,                0.73688,                 1.1112,                0.89083,                0.93395,                0.95893,                 0.6398,                 1.1496,                0.65084,                 1.0664,                0.00934,                0.00934,                0.00934
                     10,                 1.2179,                0.73294,                 1.0827,                0.90022,                0.91871,                0.96747,                0.63244,                 1.1603,                0.66365,                 1.0797,              0.0092575,              0.0092575,              0.0092575
                     11,                 1.2394,                0.72397,                 1.0919,                0.90287,                 0.9616,                 0.9681,                0.66038,                 1.1344,                0.65563,                 1.0543,               0.009175,               0.009175,               0.009175
                     12,                 1.2398,                0.72067,                 1.0762,                0.91276,                0.95245,                0.97349,                0.63764,                   1.19,                0.66749,                 1.0802,              0.0090925,              0.0090925,              0.0090925
                     13,                 1.1693,                0.70121,                 1.0709,                 0.9004,                0.94313,                0.96863,                0.65331,                 1.1158,                0.64236,                 1.0532,                0.00901,                0.00901,                0.00901
                     14,                 1.1715,                 0.6717,                 1.0632,                0.93206,                0.91498,                0.95066,                0.64016,                 1.1473,                0.62884,                 1.0545,              0.0089275,              0.0089275,              0.0089275
                     15,                 1.1701,                0.67233,                 1.0707,                0.92497,                0.91554,                0.95526,                0.61968,                 1.1746,                0.63399,                 1.0709,               0.008845,               0.008845,               0.008845
                     16,                 1.1732,                0.68397,                 1.0781,                0.88647,                0.90668,                0.93344,                0.60437,                 1.1837,                0.78563,                 1.0815,              0.0087625,              0.0087625,              0.0087625
                     17,                 1.1509,                0.64837,                 1.0619,                0.94076,                0.92557,                0.96513,                0.64278,                 1.1328,                0.63127,                  1.061,                0.00868,                0.00868,                0.00868
                     18,                 1.1775,                 0.6641,                 1.0735,                0.94897,                0.94826,                0.97835,                0.65702,                 1.1298,                0.59527,                 1.0843,              0.0085975,              0.0085975,              0.0085975
                     19,                 1.1661,                0.64355,                 1.0791,                0.96575,                0.92979,                0.97306,                0.65138,                  1.108,                0.58803,                 1.0764,               0.008515,               0.008515,               0.008515
                     20,                 1.1401,                0.65156,                 1.0715,                 0.9355,                0.93396,                 0.9674,                 0.6666,                 1.1016,                 0.5792,                 1.0662,              0.0084325,              0.0084325,              0.0084325
                     21,                 1.1333,                0.62322,                 1.0654,                0.94116,                0.92503,                0.97256,                0.66635,                 1.1073,                0.56634,                 1.0699,                0.00835,                0.00835,                0.00835
                     22,                 1.1789,                0.64552,                 1.0808,                0.94884,                0.96281,                0.98105,                0.66294,                 1.1416,                0.57975,                 1.0923,              0.0082675,              0.0082675,              0.0082675
                     23,                 1.1137,                0.61568,                 1.0422,                0.94772,                0.92106,                0.96536,                0.67377,                 1.1205,                0.57141,                 1.0577,               0.008185,               0.008185,               0.008185
                     24,                 1.1118,                0.62153,                 1.0547,                0.95252,                0.94575,                0.96688,                0.65143,                 1.1079,                0.56192,                 1.0583,              0.0081025,              0.0081025,              0.0081025
                     25,                 1.0957,                0.60362,                 1.0475,                0.91972,                0.91274,                0.96604,                0.67367,                 1.0928,                0.57593,                 1.0543,                0.00802,                0.00802,                0.00802
                     26,                 1.0968,                0.59912,                 1.0419,                0.95181,                0.95272,                0.98054,                0.68198,                 1.0901,                 0.5526,                 1.0552,              0.0079375,              0.0079375,              0.0079375
                     27,                  1.108,                0.60291,                 1.0455,                0.93952,                0.94941,                0.97964,                0.67147,                 1.1014,                0.56715,                 1.0603,               0.007855,               0.007855,               0.007855
                     28,                 1.0524,                0.58623,                  1.021,                0.92652,                0.95153,                0.97153,                0.67843,                 1.0464,                0.54384,                 1.0366,              0.0077725,              0.0077725,              0.0077725
                     29,                 1.0529,                0.57811,                 1.0201,                0.94925,                0.94199,                0.97321,                0.66451,                 1.0825,                0.56333,                 1.0678,                0.00769,                0.00769,                0.00769
                     30,                 1.0423,                 0.5848,                 1.0318,                0.96325,                0.92908,                0.97655,                0.67613,                 1.1043,                0.54549,                 1.0645,              0.0076075,              0.0076075,              0.0076075
                     31,                 1.0559,                0.58551,                 1.0311,                 0.9445,                0.91351,                0.96704,                0.66368,                 1.1101,                0.56687,                 1.0675,               0.007525,               0.007525,               0.007525
                     32,                 1.0511,                0.58455,                 1.0362,                 0.9418,                0.94458,                0.97018,                0.67839,                 1.0865,                0.55266,                 1.0565,              0.0074425,              0.0074425,              0.0074425
                     33,                 1.0603,                0.59179,                 1.0503,                0.93875,                0.94912,                0.97268,                0.68522,                 1.0713,                 0.5325,                 1.0606,                0.00736,                0.00736,                0.00736
                     34,                 1.0678,                0.58704,                 1.0425,                0.95874,                 0.9474,                 0.9793,                0.65727,                 1.1392,                0.56532,                 1.0781,              0.0072775,              0.0072775,              0.0072775
                     35,                  1.061,                 0.5731,                 1.0159,                0.96857,                0.94115,                0.97208,                0.68032,                 1.0783,                0.53838,                 1.0316,               0.007195,               0.007195,               0.007195
                     36,                 1.0617,                0.55565,                 1.0317,                0.95672,                0.95179,                  0.969,                0.69295,                 1.0413,                0.52007,                 1.0415,              0.0071125,              0.0071125,              0.0071125
                     37,                 1.0256,                0.55605,                 1.0108,                0.93085,                0.93823,                0.96551,                0.67702,                 1.0733,                0.53931,                 1.0575,                0.00703,                0.00703,                0.00703
                     38,                 1.0208,                0.54514,                 1.0238,                0.94671,                0.94423,                0.97691,                0.68908,                 1.1039,                0.53495,                  1.074,              0.0069475,              0.0069475,              0.0069475
                     39,                 1.0216,                0.56241,                 1.0199,                0.93151,                0.94327,                0.97677,                0.68561,                 1.0867,                  0.537,                 1.0765,               0.006865,               0.006865,               0.006865
                     40,                0.98739,                0.54537,                  1.004,                0.95871,                0.94917,                0.98042,                0.69227,                 1.0681,                0.52189,                 1.0758,              0.0067825,              0.0067825,              0.0067825
                     41,                 1.0072,                0.55776,                 1.0256,                  0.936,                 0.9616,                0.97466,                0.67632,                 1.0968,                0.52479,                 1.0688,                 0.0067,                 0.0067,                 0.0067
                     42,                 1.0032,                0.54425,                 1.0133,                 0.9403,                0.95139,                0.98049,                0.68045,                 1.0988,                0.52857,                 1.0726,              0.0066175,              0.0066175,              0.0066175
                     43,                  1.026,                0.54737,                 1.0216,                0.95949,                0.91417,                0.96817,                0.67687,                 1.0723,                  0.524,                 1.0729,               0.006535,               0.006535,               0.006535
                     44,                  1.005,                0.54837,                 1.0077,                0.94867,                0.95717,                0.97323,                0.69779,                 1.0829,                0.51066,                 1.0647,              0.0064525,              0.0064525,              0.0064525
                     45,                 1.0157,                0.54088,                  1.018,                0.93611,                0.94199,                0.96112,                0.69362,                 1.0726,                0.49386,                 1.0712,                0.00637,                0.00637,                0.00637
                     46,                0.96902,                0.50922,                 0.9911,                0.93903,                0.94542,                0.97247,                0.69207,                 1.0717,                0.48909,                 1.0728,              0.0062875,              0.0062875,              0.0062875
                     47,                0.97703,                0.52316,                 1.0013,                0.94147,                0.95293,                0.97098,                0.68869,                 1.0846,                0.52623,                 1.0667,               0.006205,               0.006205,               0.006205
                     48,                0.96024,                 0.5086,                 1.0032,                0.93485,                0.95065,                0.97399,                 0.6936,                 1.0543,                0.49857,                 1.0481,              0.0061225,              0.0061225,              0.0061225
                     49,                0.99469,                  0.527,                0.99804,                0.92435,                0.96718,                0.97174,                0.69387,                 1.0356,                0.49702,                  1.046,                0.00604,                0.00604,                0.00604
                     50,                0.93329,                0.49276,                0.98553,                0.95457,                0.94689,                0.97939,                 0.6972,                 1.0626,                0.49922,                  1.054,              0.0059575,              0.0059575,              0.0059575
