                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.72385,                0.38484,                0.91256,                0.95776,                0.95443,                0.97398,                0.78753,                0.77078,                0.37747,                0.95649,                 0.0766,                 0.0026,                 0.0026
                      1,                0.74514,                 0.4053,                0.90742,                0.96576,                0.95398,                0.97095,                0.77946,                0.82069,                0.40159,                0.96596,               0.052183,              0.0051834,              0.0051834
                      2,                0.77312,                0.44088,                 0.9115,                 0.9691,                0.95321,                0.97372,                0.74227,                0.86004,                0.43367,                0.97114,               0.027648,               0.007648,               0.007648
                      3,                0.83321,                0.47095,                0.95628,                0.96507,                0.95459,                0.96814,                0.75275,                0.85686,                0.49222,                0.98801,                0.00934,                0.00934,                0.00934
                      4,                0.86112,                0.49762,                 0.9396,                0.96025,                0.94068,                0.96921,                0.72238,                0.91548,                0.49554,                0.99695,                0.00934,                0.00934,                0.00934
                      5,                0.88866,                 0.4957,                0.96504,                0.95288,                0.94623,                 0.9704,                0.73995,                0.85018,                0.45279,                0.97485,                0.00912,                0.00912,                0.00912
                      6,                0.88293,                0.48768,                0.96725,                0.96172,                0.94669,                0.97233,                0.74914,                 0.8469,                0.46327,                0.97464,                 0.0089,                 0.0089,                 0.0089
                      7,                0.87943,                0.50237,                0.94537,                0.96762,                0.93148,                0.96478,                0.72645,                0.87026,                0.51795,                0.97806,                0.00868,                0.00868,                0.00868
                      8,                 0.9165,                0.51118,                0.95538,                0.96575,                0.95753,                0.97757,                0.73733,                 0.8629,                0.46557,                0.97496,                0.00846,                0.00846,                0.00846
                      9,                0.87923,                0.48511,                 0.9599,                0.97203,                0.94107,                0.97099,                0.75181,                0.83317,                0.44423,                0.97359,                0.00824,                0.00824,                0.00824
                     10,                0.87331,                0.50678,                0.95316,                0.93877,                0.94779,                0.97204,                 0.7488,                0.84903,                0.47353,                0.98149,                0.00802,                0.00802,                0.00802
