                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3184,                 2.9576,                 1.1417,                0.79048,                0.67623,                0.72627,                0.50528,                0.97531,                 1.0946,                 1.0746,                 0.0775,                 0.0025,                 0.0025
                      1,                 1.0973,                0.99585,                 1.0624,                0.80911,                0.75301,                0.83722,                0.58108,                 0.9736,                0.87764,                 1.0477,                0.05405,              0.0050495,              0.0050495
                      2,                 1.1329,                 1.0504,                 1.0715,                0.86764,                0.84956,                0.89406,                0.63796,                0.94587,                0.77105,                0.98585,               0.030548,              0.0075475,              0.0075475
                      3,                 1.1178,                0.93887,                  1.042,                0.87987,                 0.8319,                0.89639,                 0.6259,                0.99773,                0.75478,                  1.009,               0.009703,               0.009703,               0.009703
                      4,                 1.1927,                0.93956,                 1.0549,                0.91024,                0.78804,                0.89683,                0.62028,                 0.9874,                0.95847,                 1.0265,               0.009703,               0.009703,               0.009703
                      5,                 1.1603,                0.82738,                 1.0449,                0.92933,                0.82096,                0.92241,                0.65258,                 1.0015,                0.62107,                0.99654,               0.009604,               0.009604,               0.009604
                      6,                 1.1698,                0.76681,                 1.0284,                0.92078,                0.87869,                0.93887,                 0.6212,                  1.116,                0.66646,                 1.0443,               0.009505,               0.009505,               0.009505
                      7,                 1.1074,                 0.7518,                 1.0386,                0.88089,                0.87353,                0.92369,                0.66459,                0.96594,                0.62049,                0.99937,               0.009406,               0.009406,               0.009406
                      8,                 1.1505,                0.73768,                 1.0454,                0.89903,                0.78775,                0.90393,                0.59712,                 1.0626,                0.71386,                 1.0416,               0.009307,               0.009307,               0.009307
                      9,                 1.1728,                0.73654,                  1.031,                0.89573,                0.87532,                 0.9093,                0.65539,                0.97038,                 0.6615,                0.98733,               0.009208,               0.009208,               0.009208
                     10,                  1.146,                0.71207,                 1.0281,                 0.9054,                0.90681,                0.94044,                0.67473,                0.96246,                0.61399,                0.97494,               0.009109,               0.009109,               0.009109
                     11,                 1.1293,                0.67264,                 1.0158,                0.93889,                0.87443,                0.93768,                0.65166,                   1.01,                0.63382,                 1.0153,                0.00901,                0.00901,                0.00901
                     12,                 1.0915,                0.67331,                 1.0209,                0.88563,                0.89761,                0.93179,                0.67822,                0.92511,                0.64649,                0.99234,               0.008911,               0.008911,               0.008911
                     13,                 1.0516,                0.70096,                0.99968,                 0.9306,                0.90651,                0.95592,                0.69536,                0.91859,                 0.6171,                0.99489,               0.008812,               0.008812,               0.008812
                     14,                  1.053,                0.66539,                 1.0133,                0.94498,                0.92713,                0.96542,                0.68595,                0.95333,                0.62495,                 1.0033,               0.008713,               0.008713,               0.008713
                     15,                 1.0677,                0.65281,                 1.0118,                0.96028,                0.87269,                0.95622,                0.67696,                0.97974,                0.58597,                 1.0095,               0.008614,               0.008614,               0.008614
                     16,                  1.114,                0.65069,                 1.0382,                 0.9712,                0.85866,                0.95248,                0.65325,                 1.0519,                0.62063,                  1.023,               0.008515,               0.008515,               0.008515
                     17,                  1.078,                0.63137,                 1.0076,                0.94886,                0.91365,                 0.9553,                0.68952,                0.95049,                 0.5754,                0.98966,               0.008416,               0.008416,               0.008416
                     18,                  1.054,                0.61932,                 1.0135,                0.94551,                 0.9521,                0.97096,                0.70102,                0.94161,                0.55068,                0.99659,               0.008317,               0.008317,               0.008317
                     19,                 1.0738,                0.63473,                 1.0277,                0.94411,                0.92836,                0.96201,                0.69267,                 0.9344,                0.56932,                0.99779,               0.008218,               0.008218,               0.008218
                     20,                 1.0808,                 0.6129,                 1.0194,                0.92786,                0.94424,                 0.9586,                0.69878,                0.92724,                0.54523,                0.99257,               0.008119,               0.008119,               0.008119
                     21,                 1.0071,                0.62454,                0.99148,                0.92872,                0.92412,                0.96188,                0.71785,                0.86239,                 0.5442,                0.97083,                0.00802,                0.00802,                0.00802
                     22,                0.99776,                0.57354,                0.98934,                0.92616,                0.94373,                0.95485,                0.70074,                 0.9109,                0.56239,                0.98723,               0.007921,               0.007921,               0.007921
                     23,                 1.0111,                0.58829,                0.99076,                0.95623,                0.92899,                0.95345,                0.69474,                  0.941,                0.53275,                 1.0026,               0.007822,               0.007822,               0.007822
                     24,                0.97795,                0.56505,                0.97904,                0.93728,                0.95147,                0.96426,                0.71612,                0.89189,                0.52169,                 0.9821,               0.007723,               0.007723,               0.007723
                     25,                 1.0286,                0.58745,                 1.0131,                0.96489,                0.92067,                0.96262,                0.72578,                0.84882,                0.50042,                0.97696,               0.007624,               0.007624,               0.007624
                     26,                0.98852,                0.56582,                 1.0011,                0.95882,                0.93908,                0.96381,                0.72695,                 0.8835,                0.52681,                0.97738,               0.007525,               0.007525,               0.007525
                     27,                 1.0047,                0.57384,                 1.0032,                0.94752,                 0.9176,                0.95883,                0.69705,                0.93046,                0.55622,                 1.0001,               0.007426,               0.007426,               0.007426
                     28,                0.99017,                0.57306,                0.98864,                0.96379,                0.94559,                0.96839,                 0.7224,                0.85642,                0.51177,                0.97332,               0.007327,               0.007327,               0.007327
                     29,                  1.016,                 0.5848,                0.99851,                0.95685,                0.93605,                0.96307,                0.70468,                0.88168,                0.53238,                0.97787,               0.007228,               0.007228,               0.007228
                     30,                0.98215,                 0.5652,                0.98678,                0.95132,                0.93487,                0.96481,                0.72343,                0.85371,                0.48419,                0.96866,               0.007129,               0.007129,               0.007129
                     31,                0.96679,                0.56348,                0.98502,                0.97379,                0.88922,                0.95401,                0.71969,                 0.8581,                0.50363,                0.98092,                0.00703,                0.00703,                0.00703
                     32,                 0.9686,                0.56315,                0.97688,                0.96993,                0.94853,                0.96994,                0.72377,                0.86089,                0.47026,                0.97525,               0.006931,               0.006931,               0.006931
                     33,                0.97139,                0.54844,                0.97319,                0.94477,                0.93648,                0.97035,                0.71635,                0.89499,                0.48878,                0.99114,               0.006832,               0.006832,               0.006832
                     34,                0.87629,                0.51143,                0.96147,                0.95317,                0.92292,                0.96215,                0.72613,                0.83776,                0.48321,                0.96789,               0.006733,               0.006733,               0.006733
                     35,                0.96658,                0.53344,                0.97848,                0.97141,                0.91857,                0.97471,                0.73347,                0.85628,                0.47137,                0.97231,               0.006634,               0.006634,               0.006634
                     36,                0.92726,                0.53732,                0.96303,                0.93696,                0.94903,                0.96811,                0.72493,                0.84041,                0.48547,                0.97407,               0.006535,               0.006535,               0.006535
                     37,                0.92838,                0.52327,                0.96353,                0.95259,                0.94622,                0.96464,                 0.7417,                0.83096,                0.45473,                0.97899,               0.006436,               0.006436,               0.006436
                     38,                 0.9174,                0.50903,                 0.9561,                0.95796,                0.93583,                0.96316,                0.73515,                0.82743,                0.46371,                0.96855,               0.006337,               0.006337,               0.006337
                     39,                0.91437,                0.52243,                0.97723,                0.95104,                0.95307,                0.96976,                0.74463,                0.82633,                0.44861,                0.96971,               0.006238,               0.006238,               0.006238
                     40,                0.91694,                 0.5044,                   0.96,                0.96264,                0.94632,                0.97381,                0.76747,                  0.786,                0.43109,                0.96037,               0.006139,               0.006139,               0.006139
                     41,                0.90631,                0.51315,                0.96947,                0.96589,                0.92138,                0.96193,                 0.7367,                0.82782,                0.45527,                0.97461,                0.00604,                0.00604,                0.00604
                     42,                0.93887,                0.51965,                0.99058,                0.96588,                0.94842,                0.97005,                0.74549,                0.84523,                0.44372,                0.98161,               0.005941,               0.005941,               0.005941
                     43,                0.89133,                0.49892,                0.96155,                0.96663,                0.94267,                0.96925,                0.75232,                0.80016,                0.43927,                0.96946,               0.005842,               0.005842,               0.005842
                     44,                0.87061,                0.49416,                 0.9576,                0.95634,                 0.9491,                0.96804,                0.73373,                0.83635,                0.45351,                0.97737,               0.005743,               0.005743,               0.005743
                     45,                0.87096,                0.49078,                  0.954,                0.97031,                0.94167,                0.97391,                0.75791,                0.80312,                0.43193,                0.97065,               0.005644,               0.005644,               0.005644
                     46,                0.90108,                0.49143,                0.96014,                0.96697,                0.95776,                 0.9799,                0.75421,                0.80394,                0.43667,                0.96534,               0.005545,               0.005545,               0.005545
                     47,                0.92939,                0.51375,                0.97352,                0.96021,                0.94255,                0.97455,                0.75421,                0.79856,                0.44324,                0.96352,               0.005446,               0.005446,               0.005446
                     48,                  0.883,                0.48975,                0.95393,                0.95633,                0.95084,                0.97404,                0.75471,                0.78647,                0.43424,                0.95456,               0.005347,               0.005347,               0.005347
                     49,                0.87607,                0.49596,                0.96318,                0.96362,                0.94028,                0.97304,                0.75111,                0.79143,                0.42348,                0.95222,               0.005248,               0.005248,               0.005248
                     50,                0.85926,                0.48206,                0.95179,                0.96566,                 0.9521,                0.97281,                0.75569,                0.79702,                0.42889,                0.95259,               0.005149,               0.005149,               0.005149
                     51,                0.91158,                0.49452,                0.95421,                0.96968,                0.93341,                0.97117,                0.74837,                0.82079,                0.42672,                0.97053,                0.00505,                0.00505,                0.00505
                     52,                0.90582,                0.47848,                0.96448,                0.96056,                0.95136,                0.97526,                 0.7651,                 0.7809,                 0.4139,                0.96852,               0.004951,               0.004951,               0.004951
                     53,                 0.8559,                0.46702,                 0.9432,                0.95225,                0.93441,                0.96886,                0.75483,                0.80353,                0.41589,                0.96297,               0.004852,               0.004852,               0.004852
                     54,                0.83499,                0.46484,                0.94002,                0.96008,                0.92469,                0.96931,                0.75862,                0.78276,                0.43109,                0.95211,               0.004753,               0.004753,               0.004753
                     55,                0.87209,                0.47765,                0.94671,                0.96942,                0.93068,                0.96766,                0.76042,                0.78857,                0.43052,                0.95466,               0.004654,               0.004654,               0.004654
                     56,                0.79653,                0.45192,                0.93004,                0.97464,                0.95449,                0.97537,                0.75207,                0.79732,                0.42174,                0.96012,               0.004555,               0.004555,               0.004555
                     57,                0.80931,                0.45395,                 0.9302,                0.98037,                0.94034,                0.97307,                0.75151,                0.77266,                0.42096,                0.95686,               0.004456,               0.004456,               0.004456
                     58,                0.83262,                0.46098,                0.94127,                 0.9853,                0.93469,                0.97424,                0.74639,                 0.7963,                 0.4358,                0.95992,               0.004357,               0.004357,               0.004357
