                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4186,                 2.4916,                 1.2613,                0.86822,                0.66774,                0.81079,                0.51297,                 1.1959,                 1.2452,                 1.1127,                0.07075,                0.00325,                0.00325
                      1,                 1.2702,                0.99573,                  1.131,                0.88764,                0.87443,                  0.925,                0.57416,                 1.1396,                0.91232,                 1.0817,               0.040685,              0.0065182,              0.0065182
                      2,                 1.2729,                0.98962,                 1.1042,                0.77815,                 0.8475,                0.87712,                   0.53,                 1.2289,                 1.0303,                 1.1064,               0.010554,              0.0097203,              0.0097203
                      3,                 1.3246,                 0.9225,                  1.106,                0.89063,                0.86386,                0.95923,                0.60454,                 1.2269,                0.84346,                 1.0795,               0.009703,               0.009703,               0.009703
                      4,                 1.2502,                0.82603,                 1.0919,                0.84929,                0.82357,                 0.9245,                0.59762,                 1.1905,                 1.1841,                 1.0608,               0.009703,               0.009703,               0.009703
                      5,                 1.2046,                0.78829,                 1.0637,                0.88279,                0.83905,                0.90383,                0.55138,                 1.3005,                 0.8653,                  1.117,               0.009604,               0.009604,               0.009604
                      6,                 1.2202,                 0.7409,                 1.0736,                0.91975,                0.88168,                0.95098,                0.60867,                 1.2376,                  0.772,                 1.1034,               0.009505,               0.009505,               0.009505
                      7,                 1.2599,                0.74141,                 1.0969,                0.81989,                0.84988,                 0.9004,                0.57808,                 1.2371,                0.83167,                 1.1036,               0.009406,               0.009406,               0.009406
                      8,                 1.2444,                0.76519,                 1.0737,                0.95379,                0.90181,                0.96203,                0.62457,                 1.2408,                0.70307,                 1.0805,               0.009307,               0.009307,               0.009307
                      9,                 1.2193,                0.72739,                 1.0704,                 0.8981,                0.94019,                0.95454,                0.61833,                 1.2259,                0.71252,                 1.0838,               0.009208,               0.009208,               0.009208
                     10,                 1.2176,                0.70238,                 1.0592,                0.93164,                0.92632,                0.95747,                0.62118,                 1.2344,                0.67516,                 1.1092,               0.009109,               0.009109,               0.009109
                     11,                 1.2033,                0.69592,                 1.0627,                0.91231,                0.91363,                0.94495,                0.61559,                 1.1969,                0.69518,                 1.0942,                0.00901,                0.00901,                0.00901
                     12,                 1.1829,                0.68636,                  1.064,                  0.936,                0.95679,                0.97655,                0.64649,                 1.1724,                0.63772,                 1.0996,               0.008911,               0.008911,               0.008911
                     13,                 1.1679,                0.65932,                 1.0622,                0.93654,                0.92832,                0.96781,                0.63815,                 1.1642,                0.64498,                   1.08,               0.008812,               0.008812,               0.008812
                     14,                 1.1933,                0.68524,                 1.0732,                0.91821,                0.89398,                0.95209,                0.64445,                 1.1731,                0.69531,                 1.0764,               0.008713,               0.008713,               0.008713
                     15,                 1.1862,                0.66603,                 1.0759,                0.91896,                0.87203,                0.94541,                0.63579,                 1.1809,                0.66033,                 1.1015,               0.008614,               0.008614,               0.008614
                     16,                 1.1429,                0.65867,                 1.0567,                0.90393,                0.95769,                0.97203,                0.65798,                 1.1237,                0.61075,                 1.0688,               0.008515,               0.008515,               0.008515
                     17,                   1.14,                0.65578,                 1.0519,                0.94073,                0.94608,                0.98285,                 0.6672,                  1.123,                0.58494,                 1.0643,               0.008416,               0.008416,               0.008416
                     18,                 1.1265,                0.62419,                 1.0444,                0.94642,                0.93015,                0.97571,                0.66283,                 1.1412,                0.61237,                 1.0662,               0.008317,               0.008317,               0.008317
                     19,                 1.1601,                0.65088,                 1.0657,                0.93775,                0.94199,                0.97648,                0.64641,                 1.1832,                0.59924,                 1.0761,               0.008218,               0.008218,               0.008218
                     20,                 1.1315,                0.64165,                 1.0473,                0.92517,                0.93791,                  0.964,                0.65472,                 1.1624,                0.61263,                 1.0739,               0.008119,               0.008119,               0.008119
                     21,                  1.123,                 0.6186,                 1.0491,                0.92344,                0.95717,                 0.9714,                0.66095,                 1.1238,                 0.5792,                 1.0645,                0.00802,                0.00802,                0.00802
                     22,                 1.1097,                0.62155,                 1.0484,                0.95083,                0.93657,                0.97083,                 0.6509,                 1.1834,                0.61546,                 1.0954,               0.007921,               0.007921,               0.007921
                     23,                 1.1375,                0.61914,                 1.0479,                0.96402,                0.95016,                0.97525,                 0.6675,                 1.1354,                0.57611,                 1.0728,               0.007822,               0.007822,               0.007822
                     24,                 1.1184,                0.61044,                 1.0436,                0.93725,                0.93323,                0.96193,                0.65483,                 1.1627,                0.61051,                 1.0736,               0.007723,               0.007723,               0.007723
                     25,                 1.1094,                 0.5913,                 1.0318,                0.95265,                0.93732,                0.97187,                0.67276,                 1.1896,                 0.5795,                 1.0824,               0.007624,               0.007624,               0.007624
                     26,                 1.0468,                0.58886,                  1.025,                0.94355,                0.93613,                0.97361,                0.67721,                 1.1239,                0.57249,                 1.0592,               0.007525,               0.007525,               0.007525
                     27,                 1.0575,                0.58865,                 1.0296,                0.93038,                0.96957,                0.97593,                0.67388,                 1.1522,                0.57839,                 1.0742,               0.007426,               0.007426,               0.007426
                     28,                 1.0906,                0.57203,                 1.0301,                0.93694,                0.95108,                0.97293,                0.66235,                 1.1446,                0.56598,                 1.0817,               0.007327,               0.007327,               0.007327
                     29,                  1.049,                0.56019,                 1.0249,                0.94383,                0.93709,                0.96175,                0.66232,                 1.1189,                0.57252,                 1.0791,               0.007228,               0.007228,               0.007228
                     30,                  1.071,                0.58059,                 1.0251,                0.93558,                 0.9255,                0.95457,                0.67408,                 1.1289,                0.58333,                 1.0736,               0.007129,               0.007129,               0.007129
                     31,                 1.0727,                 0.5808,                 1.0131,                0.93771,                0.97047,                0.97609,                0.67833,                 1.1113,                0.54412,                 1.0697,                0.00703,                0.00703,                0.00703
