                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0182,                0.56499,                 1.0251,                 0.9682,                0.95051,                0.97799,                0.68255,                 1.2077,                0.56059,                 1.0882,               0.007756,               0.007756,               0.007756
                     36,                 1.0415,                0.56179,                 1.0288,                0.94689,                0.95198,                0.97584,                 0.6722,                 1.2103,                0.57033,                 1.0949,                0.00769,                0.00769,                0.00769
                     37,                 1.0632,                0.57359,                 1.0281,                0.94484,                0.94704,                0.97725,                0.68858,                 1.1986,                0.55098,                 1.1164,               0.007624,               0.007624,               0.007624
                     38,                 1.0209,                0.57378,                 1.0252,                0.95379,                0.95408,                0.97219,                0.68534,                 1.2041,                0.55111,                 1.1061,               0.007558,               0.007558,               0.007558
                     39,                 1.0255,                0.55635,                 1.0265,                0.95354,                0.95988,                0.98201,                0.67522,                 1.2332,                0.55749,                  1.132,               0.007492,               0.007492,               0.007492
                     40,                 1.0031,                 0.5449,                 1.0319,                0.93406,                0.94425,                0.97706,                0.69365,                 1.1715,                0.55971,                 1.0986,               0.007426,               0.007426,               0.007426
                     41,                 1.0388,                 0.5658,                 1.0416,                 0.9703,                0.94839,                 0.9825,                0.69438,                 1.2122,                0.57454,                 1.1234,                0.00736,                0.00736,                0.00736
                     42,                0.99527,                0.54893,                 1.0076,                0.91302,                0.96734,                0.97019,                0.68237,                 1.1651,                0.55944,                 1.0937,               0.007294,               0.007294,               0.007294
                     43,                 1.0092,                0.55713,                 1.0299,                0.95533,                0.94409,                0.97273,                0.68723,                 1.2034,                0.56234,                 1.1128,               0.007228,               0.007228,               0.007228
                     44,                 1.0298,                0.55033,                 1.0235,                0.94842,                 0.9281,                0.97163,                0.68019,                 1.1973,                0.56447,                 1.1001,               0.007162,               0.007162,               0.007162
                     45,                 1.0196,                0.54693,                 1.0278,                0.95108,                0.94455,                0.96907,                0.68698,                 1.2338,                0.55163,                 1.1262,               0.007096,               0.007096,               0.007096
                     46,                 1.0356,                0.55288,                 1.0393,                0.94783,                0.93254,                0.96704,                0.66801,                 1.2411,                0.56749,                 1.1033,                0.00703,                0.00703,                0.00703
                     47,                 0.9885,                0.54628,                 1.0192,                0.94888,                0.94565,                0.98031,                0.68461,                 1.1942,                0.54052,                 1.1045,               0.006964,               0.006964,               0.006964
                     48,                0.98472,                0.54572,                 1.0052,                0.94776,                0.94941,                0.98382,                0.68846,                 1.2015,                0.54601,                 1.1222,               0.006898,               0.006898,               0.006898
                     49,                0.99222,                0.54787,                 1.0186,                0.92973,                0.92513,                0.96185,                0.67628,                 1.1817,                0.55132,                 1.1138,               0.006832,               0.006832,               0.006832
                     50,                0.98576,                0.53388,                 1.0107,                0.95033,                0.94097,                0.96784,                0.67941,                 1.2054,                0.55012,                 1.1228,               0.006766,               0.006766,               0.006766
                     51,                0.98776,                0.54022,                 1.0089,                0.96646,                0.96342,                0.98141,                0.70277,                 1.1579,                0.54254,                 1.0828,                 0.0067,                 0.0067,                 0.0067
                     52,                0.96472,                0.51704,                 1.0077,                0.96431,                0.95875,                 0.9855,                0.69278,                 1.1694,                 0.5261,                 1.0977,               0.006634,               0.006634,               0.006634
                     53,                0.93659,                0.50818,                0.99723,                0.94475,                0.95784,                0.98173,                0.70145,                 1.1744,                0.52178,                 1.1127,               0.006568,               0.006568,               0.006568
                     54,                0.95872,                0.51775,                 1.0044,                0.94476,                  0.953,                0.97307,                0.68495,                 1.1843,                0.52748,                 1.1176,               0.006502,               0.006502,               0.006502
                     55,                0.95347,                0.51411,                0.99639,                0.95085,                0.96059,                0.98493,                0.70058,                 1.2013,                0.54238,                 1.1086,               0.006436,               0.006436,               0.006436
                     56,                  0.977,                0.51965,                 1.0091,                0.95768,                0.95518,                0.98065,                 0.6778,                 1.2104,                 0.5239,                 1.1217,                0.00637,                0.00637,                0.00637
                     57,                0.93807,                0.51324,                0.99487,                0.96638,                0.92485,                0.97866,                  0.674,                 1.2313,                0.51746,                 1.1462,               0.006304,               0.006304,               0.006304
                     58,                 0.9031,                0.49768,                0.98121,                0.95395,                0.95122,                0.98295,                0.69804,                 1.2004,                0.52763,                 1.1132,               0.006238,               0.006238,               0.006238
                     59,                0.94718,                0.52022,                0.99947,                0.95787,                0.93606,                0.97144,                0.68864,                 1.1726,                0.53966,                  1.088,               0.006172,               0.006172,               0.006172
                     60,                0.91659,                0.49995,                0.98766,                0.95042,                0.95085,                0.96689,                0.68954,                 1.1799,                0.53762,                 1.0911,               0.006106,               0.006106,               0.006106
                     61,                0.92838,                0.49519,                0.99053,                 0.9585,                0.95913,                0.97567,                0.69858,                 1.1892,                0.51773,                 1.1077,                0.00604,                0.00604,                0.00604
                     62,                0.91949,                0.48368,                0.97895,                0.95759,                0.93539,                0.97464,                 0.7041,                 1.1676,                 0.5044,                 1.0911,               0.005974,               0.005974,               0.005974
                     63,                0.91395,                 0.4882,                 0.9738,                0.94324,                0.96339,                 0.9777,                0.70961,                  1.152,                0.51355,                 1.0987,               0.005908,               0.005908,               0.005908
                     64,                0.90998,                0.48092,                0.99183,                0.94259,                 0.9616,                0.97355,                0.68743,                 1.2216,                 0.5277,                 1.1299,               0.005842,               0.005842,               0.005842
                     65,                0.87815,                0.47571,                0.97565,                0.95742,                0.96718,                0.98294,                0.69043,                  1.224,                0.52628,                 1.1356,               0.005776,               0.005776,               0.005776
                     66,                0.90402,                0.48353,                0.98349,                0.95915,                0.93016,                0.97552,                0.70468,                 1.2187,                0.53686,                 1.1406,                0.00571,                0.00571,                0.00571
                     67,                0.90583,                0.49178,                0.98459,                0.95922,                 0.9647,                0.98085,                0.69752,                 1.1898,                0.49939,                 1.1199,               0.005644,               0.005644,               0.005644
                     68,                0.89339,                0.48322,                0.97316,                0.95236,                  0.935,                0.97579,                0.70366,                 1.1875,                0.49827,                 1.1233,               0.005578,               0.005578,               0.005578
                     69,                0.88803,                0.46377,                 0.9744,                0.94801,                0.94849,                0.97877,                0.69676,                 1.2385,                 0.5112,                 1.1455,               0.005512,               0.005512,               0.005512
                     70,                0.90021,                0.47071,                0.97624,                0.97867,                0.91712,                0.97212,                0.69822,                 1.2315,                0.52635,                 1.1344,               0.005446,               0.005446,               0.005446
                     71,                0.89746,                0.47417,                0.97943,                0.93568,                0.95743,                0.96418,                0.69652,                 1.2063,                0.50994,                 1.1314,                0.00538,                0.00538,                0.00538
                     72,                0.87053,                0.46331,                0.97254,                0.94802,                0.94849,                0.96441,                0.69998,                 1.1609,                0.51569,                 1.1052,               0.005314,               0.005314,               0.005314
                     73,                0.88126,                0.46636,                0.96905,                0.95486,                0.94065,                0.96956,                0.70207,                 1.2181,                0.51024,                  1.138,               0.005248,               0.005248,               0.005248
                     74,                0.90942,                0.47739,                0.97898,                0.96082,                0.93876,                0.97123,                0.70156,                 1.2125,                0.49747,                 1.1331,               0.005182,               0.005182,               0.005182
                     75,                0.88443,                0.47131,                0.96646,                0.93464,                0.94473,                0.96863,                0.69956,                 1.1745,                0.51134,                 1.1032,               0.005116,               0.005116,               0.005116
                     76,                0.85287,                0.45828,                0.94847,                0.94942,                0.94914,                0.96997,                0.70602,                 1.1903,                0.51696,                 1.1133,                0.00505,                0.00505,                0.00505
                     77,                0.83429,                0.44671,                 0.9452,                0.94964,                0.95822,                0.97315,                0.71861,                  1.199,                0.50295,                 1.1157,               0.004984,               0.004984,               0.004984
                     78,                0.85601,                0.45012,                0.95468,                0.95242,                0.94355,                0.96364,                0.70705,                 1.1725,                0.51428,                  1.119,               0.004918,               0.004918,               0.004918
                     79,                0.84722,                 0.4499,                0.95654,                0.94765,                0.95456,                 0.9716,                0.70012,                 1.2054,                0.52131,                 1.1276,               0.004852,               0.004852,               0.004852
                     80,                0.85545,                0.44928,                0.96854,                0.95822,                 0.9405,                0.96751,                0.68648,                 1.2003,                0.49623,                 1.1166,               0.004786,               0.004786,               0.004786
                     81,                0.86792,                 0.4603,                0.97284,                0.95248,                0.93946,                0.96952,                0.69636,                 1.1905,                0.51842,                 1.1248,                0.00472,                0.00472,                0.00472
                     82,                 0.8172,                0.44174,                0.95822,                0.95657,                0.94192,                0.96636,                0.69344,                 1.2447,                0.51694,                 1.1595,               0.004654,               0.004654,               0.004654
                     83,                0.88264,                0.46067,                 0.9622,                0.95353,                0.96115,                0.97643,                0.70025,                 1.2434,                  0.498,                 1.1518,               0.004588,               0.004588,               0.004588
                     84,                0.83182,                0.44209,                0.96139,                0.92833,                0.97135,                0.97131,                0.69814,                   1.23,                0.48841,                 1.1377,               0.004522,               0.004522,               0.004522
                     85,                0.83809,                0.43324,                0.94925,                0.93084,                0.95134,                  0.962,                0.69881,                 1.2149,                0.47852,                 1.1375,               0.004456,               0.004456,               0.004456
                     86,                 0.8149,                0.42637,                0.95055,                0.93611,                0.96068,                 0.9692,                0.70319,                 1.2106,                0.50671,                   1.15,                0.00439,                0.00439,                0.00439
                     87,                0.89031,                 0.4576,                0.98743,                0.94178,                0.95369,                0.97166,                0.68598,                  1.241,                  0.497,                 1.1464,               0.004324,               0.004324,               0.004324
                     88,                 0.8346,                0.43983,                0.95789,                 0.9466,                0.95701,                0.97665,                0.70316,                 1.2084,                0.50477,                 1.1378,               0.004258,               0.004258,               0.004258
                     89,                0.81655,                0.43441,                0.95407,                0.93461,                0.97568,                0.97427,                 0.7007,                 1.1681,                0.48716,                 1.1113,               0.004192,               0.004192,               0.004192
                     90,                0.82635,                 0.4318,                0.95839,                0.96518,                0.95371,                0.97623,                0.70975,                 1.1889,                0.50655,                 1.1262,               0.004126,               0.004126,               0.004126
                     91,                0.79871,                0.42899,                0.94339,                0.96558,                0.94565,                0.97153,                0.70312,                 1.2131,                0.48796,                 1.1439,                0.00406,                0.00406,                0.00406
                     92,                0.79328,                0.41989,                0.95393,                0.95246,                0.95233,                 0.9778,                0.69981,                 1.2066,                0.49348,                 1.1402,               0.003994,               0.003994,               0.003994
                     93,                0.79965,                0.41893,                0.94774,                0.97486,                0.95032,                0.98105,                0.71071,                 1.2168,                0.48299,                 1.1404,               0.003928,               0.003928,               0.003928
