                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3996,                 1.8769,                 1.1516,                0.87251,                0.76177,                0.85031,                0.47104,                 1.4034,                 1.0915,                 1.1493,               0.070194,              0.0033118,              0.0033118
                      1,                 1.3366,                0.89085,                  1.107,                0.88875,                0.82155,                0.89415,                0.52007,                 1.3358,                0.83227,                 1.1055,               0.040175,              0.0066264,              0.0066264
                      2,                 1.3531,                0.87143,                 1.1171,                0.78223,                0.76583,                0.81523,                0.42785,                 1.4304,                 1.1781,                 1.1845,               0.010137,               0.009922,               0.009922
                      3,                 1.3576,                0.85805,                  1.126,                0.88723,                0.76917,                0.85335,                0.51056,                 1.3794,                0.91552,                 1.1756,              0.0099151,              0.0099151,              0.0099151
                      4,                 1.3241,                0.78737,                 1.1183,                0.88812,                0.82844,                0.89949,                0.52335,                 1.3479,                0.78943,                 1.1451,              0.0099151,              0.0099151,              0.0099151
                      5,                 1.2954,                0.73726,                 1.1076,                0.87003,                0.80988,                0.87537,                0.52813,                 1.2925,                 1.4906,                 1.1268,              0.0098869,              0.0098869,              0.0098869
                      6,                 1.2767,                0.71054,                 1.0969,                0.90288,                0.84358,                0.91053,                0.54747,                  1.292,                0.67761,                 1.1018,              0.0098586,              0.0098586,              0.0098586
                      7,                 1.2528,                0.68441,                  1.088,                0.92322,                0.88864,                0.93879,                0.59557,                   1.23,                0.62129,                 1.0859,              0.0098303,              0.0098303,              0.0098303
                      8,                 1.2428,                0.67072,                 1.0848,                0.93703,                0.87186,                0.93382,                0.58597,                 1.2583,                0.63407,                 1.1146,               0.009802,               0.009802,               0.009802
                      9,                 1.2218,                0.64524,                 1.0761,                0.93157,                0.88538,                0.94116,                0.60394,                 1.2153,                0.60613,                 1.0844,              0.0097737,              0.0097737,              0.0097737
                     10,                 1.2115,                0.63147,                  1.074,                0.93101,                0.89762,                0.94333,                0.60317,                 1.1938,                 0.5894,                 1.0786,              0.0097454,              0.0097454,              0.0097454
                     11,                 1.1891,                0.62278,                  1.061,                0.93586,                0.90541,                0.93902,                0.61249,                 1.1521,                0.58143,                 1.0585,              0.0097171,              0.0097171,              0.0097171
                     12,                 1.1786,                0.60607,                 1.0589,                0.94869,                0.88393,                0.93949,                0.61096,                 1.1818,                0.59489,                 1.0719,              0.0096889,              0.0096889,              0.0096889
                     13,                 1.1715,                0.59947,                 1.0558,                0.94184,                0.89981,                0.94364,                0.61031,                 1.1577,                0.56861,                 1.0688,              0.0096606,              0.0096606,              0.0096606
                     14,                 1.1618,                0.59504,                 1.0569,                 0.9381,                0.89096,                0.94562,                0.63492,                  1.143,                0.56456,                 1.0531,              0.0096323,              0.0096323,              0.0096323
                     15,                 1.1441,                0.58255,                 1.0483,                0.93642,                0.87432,                0.94134,                0.62719,                 1.1476,                0.56509,                 1.0614,               0.009604,               0.009604,               0.009604
                     16,                 1.1369,                0.57759,                 1.0435,                0.94844,                 0.9007,                0.94964,                0.63077,                  1.142,                0.55017,                 1.0604,              0.0095757,              0.0095757,              0.0095757
                     17,                  1.116,                0.56543,                 1.0327,                0.93769,                0.90355,                  0.947,                0.63614,                 1.1128,                0.53863,                 1.0458,              0.0095474,              0.0095474,              0.0095474
                     18,                 1.1141,                0.56254,                 1.0366,                0.94156,                0.90444,                0.94733,                 0.6451,                  1.103,                0.54104,                 1.0434,              0.0095191,              0.0095191,              0.0095191
                     19,                 1.1105,                0.55967,                 1.0347,                0.94867,                0.90947,                0.95125,                0.64145,                 1.1143,                0.52563,                 1.0451,              0.0094909,              0.0094909,              0.0094909
                     20,                 1.0947,                0.55057,                 1.0289,                0.94651,                0.90083,                0.94691,                 0.6427,                 1.0996,                0.52873,                 1.0454,              0.0094626,              0.0094626,              0.0094626
                     21,                  1.088,                0.54745,                 1.0304,                 0.9488,                0.90117,                0.95144,                0.64561,                 1.0927,                 0.5087,                 1.0397,              0.0094343,              0.0094343,              0.0094343
                     22,                 1.0815,                0.54116,                 1.0182,                0.95112,                0.91264,                 0.9569,                 0.6555,                 1.0633,                0.50308,                 1.0293,               0.009406,               0.009406,               0.009406
                     23,                 1.0655,                0.53214,                 1.0166,                0.95701,                0.90969,                0.95655,                0.66665,                 1.0606,                 0.4941,                 1.0234,              0.0093777,              0.0093777,              0.0093777
                     24,                 1.0616,                0.53478,                  1.017,                0.94711,                0.91747,                0.95188,                0.65934,                 1.0783,                0.50896,                 1.0291,              0.0093494,              0.0093494,              0.0093494
                     25,                  1.066,                0.52896,                 1.0144,                0.94481,                0.91564,                0.95457,                0.65861,                 1.0702,                0.50031,                 1.0292,              0.0093211,              0.0093211,              0.0093211
                     26,                 1.0728,                0.52848,                 1.0196,                0.94617,                0.91074,                0.95201,                0.65311,                 1.0726,                0.50289,                 1.0221,              0.0092929,              0.0092929,              0.0092929
                     27,                 1.0544,                0.52599,                 1.0125,                0.95059,                0.92042,                0.95876,                0.66926,                 1.0583,                0.48055,                 1.0254,              0.0092646,              0.0092646,              0.0092646
                     28,                 1.0508,                0.52106,                 1.0137,                0.96173,                0.92091,                0.95919,                 0.6726,                  1.041,                0.48438,                 1.0194,              0.0092363,              0.0092363,              0.0092363
                     29,                  1.049,                0.51998,                 1.0105,                0.94783,                0.92434,                0.95689,                0.67462,                 1.0263,                0.48424,                 1.0135,               0.009208,               0.009208,               0.009208
                     30,                 1.0375,                0.51191,                 1.0045,                0.94813,                 0.9168,                0.95645,                0.67694,                  1.023,                0.47388,                 1.0118,              0.0091797,              0.0091797,              0.0091797
                     31,                 1.0302,                0.51122,                  1.005,                0.95535,                0.91596,                0.95708,                0.67207,                 1.0235,                0.48213,                 1.0126,              0.0091514,              0.0091514,              0.0091514
